chr5	149845914	+	chr5	149832656	+	PPARGC1B	PPARGC1B	1	2	1	1	ENST00000309241.9	ENST00000309241.9	11	5	1543	1772	2389	12	12	1	1	10568	10568
chr5	149845914	+	chr5	149832656	+	PPARGC1B	PPARGC1B	1	2	1	1	ENST00000403750.5	ENST00000403750.5	10	4	1543	5770	2389	11	11	1	1	3146	3146
chr5	149845914	+	chr5	149832656	+	PPARGC1B	PPARGC1B	1	2	1	1	ENST00000360453.8	ENST00000360453.8	10	4	1543	5770	2389	11	11	1	1	3004	3004
chr10	133381659	+	chr10	133379999	+	PAOX	PAOX	1	8	5	3	ENST00000278060.9	ENST00000278060.9	3	2	2300	501	687	7	7	1	1	1858	1858
chr10	133381659	+	chr10	133379999	+	PAOX	PAOX	1	8	5	3	ENST00000357296.7	ENST00000357296.7	3	2	2300	501	687	6	6	1	1	1633	1633
chr10	133381659	+	chr10	133379999	+	PAOX	PAOX	1	8	5	3	ENST00000480071.2	ENST00000480071.2	3	2	7296	501	687	5	5	1	1	1324	1324
chr10	133381659	+	chr10	133379999	+	PAOX	PAOX	1	8	5	3	ENST00000368535.2	ENST00000368535.2	3	2	2300	328	687	7	7	0	0	1737	1737
chr10	133381659	+	chr10	133379999	+	PAOX	PAOX	1	8	5	3	ENST00000356306.9	ENST00000356306.9	3	2	7296	501	687	6	6	0	0	1482	1482
chrX	107088436	-	chrX	107115556	-	RBM41	RBM41	1	3	1	2	ENST00000372487.5	ENST00000372487.5	5	4	19033	305	609	8	8	1	1	2579	2579
chrX	107088436	-	chrX	107115556	-	RBM41	RBM41	1	3	1	2	ENST00000372479.7	ENST00000372479.7	5	4	19033	305	609	7	7	1	1	1662	1662
chr1	28476291	+	chr1	28466382	+	PHACTR4	PHACTR4	1	7	1	6	ENST00000373839.7	ENST00000373839.7	8	6	4159	532	1170	14	14	1	1	6190	6190
chr1	28476291	+	chr1	28466382	+	PHACTR4	PHACTR4	1	7	1	6	ENST00000373836.4	ENST00000373836.4	7	5	4159	532	1170	13	13	1	1	3107	3107
chr1	28476291	+	chr1	28466382	+	PHACTR4	PHACTR4	1	7	1	6	ENST00000632421.1	ENST00000632421.1	9	7	4159	532	1170	15	15	0	0	3375	3375
chr1	28476291	+	chr1	28466382	+	PHACTR4	PHACTR4	1	7	1	6	ENST00000493669.2	ENST00000493669.2	9	7	4159	532	1170	17	17	0	0	3078	3078
chr19	49871547	-	chr19	49873302	-	AKT1S1	AKT1S1	1	4	1	3	ENST00000391835.1	ENST00000391835.1	4	2	1486	3300	634	5	5	1	1	3075	3075
chr19	49871547	-	chr19	49873302	-	AKT1S1	AKT1S1	1	4	1	3	ENST00000391831.5	ENST00000391831.5	4	2	1486	2571	634	5	5	1	1	2025	2025
chr19	49871547	-	chr19	49873302	-	AKT1S1	AKT1S1	1	4	1	3	ENST00000391832.7	ENST00000391832.7	4	2	1486	3722	634	5	5	1	1	1911	1911
chr19	49871547	-	chr19	49873302	-	AKT1S1	AKT1S1	1	4	1	3	ENST00000391834.6	ENST00000391834.6	4	2	1486	4867	634	5	5	1	1	1849	1849
chr19	49871547	-	chr19	49873302	-	AKT1S1	AKT1S1	1	4	1	3	ENST00000344175.9	ENST00000344175.9	4	2	1486	3934	634	5	5	1	1	1760	1760
chr19	10284657	+	chr19	10284129	+	ICAM1	ICAM1	1	5	1	4	ENST00000423829.2	ENST00000423829.2	3	2	125	12902	447	5	5	1	1	1296	1296
chr9	103006378	+	chr9	103004695	+	CYLC2	CYLC2	1	3	2	1	ENST00000374798.7	ENST00000374798.7	5	4	5603	1431	1567	8	8	1	1	2171	2171
chr9	103006378	+	chr9	103004695	+	CYLC2	CYLC2	1	3	2	1	ENST00000487798.5	ENST00000487798.5	5	4	4322	1431	1567	7	7	1	1	2053	2053
chr9	103006378	+	chr9	103004695	+	CYLC2	CYLC2	1	3	2	1	ENST00000612124.4	ENST00000612124.4	5	4	no intron	1431	1567	5	5	1	1	1817	1817
chr3	94094294	+	chr3	94084107	+	NSUN3	NSUN3	1	9	2	7	ENST00000314622.8	ENST00000314622.8	4	3	738	19560	499	6	6	1	1	3289	3289
chr5	79316310	+	chr5	79290121	+	JMY	JMY	1	1	1	0	ENST00000396137.4	ENST00000396137.4	10	3	5295	12037	1764	11	11	1	1	9042	9042
chr12	30716508	-	chr12	30729325	-	CAPRIN2	CAPRIN2	1	5	2	3	ENST00000298892.9	ENST00000298892.9	13	8	1366	913	1213	17	17	1	1	4334	4334
chr12	30716508	-	chr12	30729325	-	CAPRIN2	CAPRIN2	1	5	2	3	ENST00000395805.6	ENST00000395805.6	13	8	1426	913	1255	17	17	1	1	4156	4156
chr12	30716508	-	chr12	30729325	-	CAPRIN2	CAPRIN2	1	5	2	3	ENST00000417045.5	ENST00000417045.5	14	8	1366	913	1360	18	18	1	1	3535	3535
